kind	key	english	visible_len	max_visible	ptbr
item name	3JLV	[bladesymbol]Wood_Sword	11	11	
item name	3JLg	[bladesymbol]Iron_Blade	11	11	
item name	3JLr	[bladesymbol]SteelSaber	11	11	
item name	3JM2	[bladesymbol]Lode_Sword	11	11	
item name	3JMD	[bladesymbol]Red_Katana	11	11	
item name	3JMO	[bladesymbol]Flint_Edge	11	11	
item name	3JMZ	[bladesymbol]Dark_Saber	11	11	
item name	3JMk	[bladesymbol]Aeon_Blade	11	11	
item name	3JMv	[bladesymbol]Demon_Edge	11	11	
item name	3JN6	[bladesymbol]AlloyBlade	11	11	
item name	3JNH	[bladesymbol]Star_Sword	11	11	
item name	3JNS	[bladesymbol]VedicBlade	11	11	
item name	3JNd	[bladesymbol]Kali_Blade	11	11	
item name	3JNo	[bladesymbol]Shiva_Edge	11	11	
item name	3JNz	[bladesymbol]Bolt_Sword	11	11	
item name	3JOA	[bladesymbol]Slasher	8	11	
item name	3JOL	[bowsymbol]Bronze_Bow	11	11	
item name	3JOW	[bowsymbol]Iron_Bow	9	11	
item name	3JOh	[bowsymbol]Lode_Bow	9	11	
item name	3JOs	[bowsymbol]Robin_Bow	10	11	
item name	3JP3	[bowsymbol]Sage_Bow	9	11	
item name	3JPE	[bowsymbol]Dream_Bow	10	11	
item name	3JPP	[bowsymbol]CometArrow	11	11	
item name	3JPa	[bowsymbol]SonicArrow	11	11	
item name	3JPl	[bowsymbol]Valkerye	9	11	
item name	3JPw	[bowsymbol]Siren	6	11	
item name	3JQ7	[bowsymbol]	1	11	
item name	3JQI	[bowsymbol]	1	11	
item name	3JQT	[bowsymbol]	1	11	
item name	3JQe	[bowsymbol]	1	11	
item name	3JQp	[gunsymbol]Air_Gun	8	11	
item name	3JR0	[gunsymbol]Dart_Gun	9	11	
item name	3JRB	[gunsymbol]Auto_Gun	9	11	
item name	3JRM	[gunsymbol]PicoMagnum	11	11	
item name	3JRX	[gunsymbol]Plasma_Gun	11	11	
item name	3JRi	[gunsymbol]Ruby_Gun	9	11	
item name	3JRt	[gunsymbol]Dream_Gun	10	11	
item name	3JS4	[gunsymbol]Megablast	10	11	
item name	3JSF	[gunsymbol]Shock_Wave	11	11	
item name	3JSQ	[gunsymbol]WonderShot	11	11	
item name	3JSb	[gunsymbol]Graedus	8	11	
item name	3JSm	[gunsymbol]	1	11	
item name	3JSx	[gunsymbol]	1	11	
item name	3JT8	[gunsymbol]	1	11	
item name	3JTJ	[gunsymbol]	1	11	
item name	3JTU	[armsymbol]Tin_Arm	8	11	
item name	3JTf	[armsymbol]Hammer_Arm	11	11	
item name	3JTq	[armsymbol]MirageHand	11	11	
item name	3JU1	[armsymbol]Stone_Arm	10	11	
item name	3JUC	[armsymbol]DoomFinger	11	11	
item name	3JUN	[armsymbol]Magma_Hand	11	11	
item name	3JUY	[armsymbol]MegatonArm	11	11	
item name	3JUj	[armsymbol]Big_Hand	9	11	
item name	3JUu	[armsymbol]Kaiser_Arm	11	11	
item name	3JV5	[armsymbol]Giga_Arm	9	11	
item name	3JVG	[armsymbol]Terra_Arm	10	11	
item name	3JVR	[armsymbol]Crisis_Arm	11	11	
item name	3JVc	[armsymbol]	1	11	
item name	3JVn	[swordsymbol]BronzeEdge	11	11	
item name	3JVy	[swordsymbol]Iron_Sword	11	11	
item name	3JW9	[swordsymbol]Masamune	9	11	
item name	3JWK	[swordsymbol]FlashBlade	11	11	
item name	3JWV	[swordsymbol]Pearl_Edge	11	11	
item name	3JWg	[swordsymbol]Rune_Blade	11	11	
item name	3JWr	[swordsymbol]BraveSword	11	11	
item name	3JX2	[swordsymbol]Masamune	9	11	
item name	3JXD	[swordsymbol]Demon_Hit	10	11	
item name	3JXO	[fistsymbol]Fist	5	11	
item name	3JXZ	[fistsymbol]Fist	5	11	
item name	3JXk	[fistsymbol]Fist	5	11	
item name	3JXv	[fistsymbol]Iron_Fist	10	11	
item name	3JY6	[fistsymbol]BronzeFist	11	11	
item name	3JYH	[fistsymbol]	1	11	
item name	3JYS	[fistsymbol]	1	11	
item name	3JYd	[scythesymbol]DarkScythe	11	11	
item name	3JYo	[scythesymbol]Hurricane	10	11	
item name	3JYz	[scythesymbol]StarScythe	11	11	
item name	3JZA	[scythesymbol]DoomSickle	11	11	
item name	3JZL	[bladesymbol]Mop	4	11	
item name	3JZW	[swordsymbol]Bent_Sword	11	11	
item name	3JZh	[swordsymbol]Bent_Hilt	10	11	
item name	3JZs	[swordsymbol]Masamune	9	11	
item name	3Ja3	[bladesymbol]Swallow	8	11	
item name	3JaE	[bladesymbol]Slasher_2	10	11	
item name	3JaP	[bladesymbol]Rainbow	8	11	
item name	3JbT	[armorsymbol]Hide_Tunic	11	11	
item name	3Jbe	[armorsymbol]Karate_Gi	10	11	
item name	3Jbp	[armorsymbol]BronzeMail	11	11	
item name	3Jc0	[armorsymbol]MaidenSuit	11	11	
item name	3JcB	[armorsymbol]Iron_Suit	10	11	
item name	3JcM	[armorsymbol]Titan_Vest	11	11	
item name	3JcX	[armorsymbol]Gold_Suit	10	11	
item name	3Jci	[armorsymbol]Ruby_Vest	10	11	
item name	3Jct	[armorsymbol]Dark_Mail	10	11	
item name	3Jd4	[armorsymbol]Mist_Robe	10	11	
item name	3JdF	[armorsymbol]Meso_Mail	10	11	
item name	3JdQ	[armorsymbol]Lumin_Robe	11	11	
item name	3Jdb	[armorsymbol]Flash_Mail	11	11	
item name	3Jdm	[armorsymbol]Lode_Vest	10	11	
item name	3Jdx	[armorsymbol]Aeon_Suit	10	11	
item name	3Je8	[armorsymbol]ZodiacCape	11	11	
item name	3JeJ	[armorsymbol]Nova_Armor	11	11	
item name	3JeU	[armorsymbol]PrismDress	11	11	
item name	3Jef	[armorsymbol]Moon_Armor	11	11	
item name	3Jeq	[armorsymbol]Ruby_Armor	11	11	
item name	3Jf1	[armorsymbol]RavenArmor	11	11	
item name	3JfC	[armorsymbol]Gloom_Cape	11	11	
item name	3JfN	[armorsymbol]White_Mail	11	11	
item name	3JfY	[armorsymbol]Black_Mail	11	11	
item name	3Jfj	[armorsymbol]Blue_Mail	10	11	
item name	3Jfu	[armorsymbol]Red_Mail	9	11	
item name	3Jg5	[armorsymbol]White_Vest	11	11	
item name	3JgG	[armorsymbol]Black_Vest	11	11	
item name	3JgR	[armorsymbol]Blue_Vest	10	11	
item name	3Jgc	[armorsymbol]Red_Vest	9	11	
item name	3Jgn	[armorsymbol]Taban_Vest	11	11	
item name	3Jgy	[armorsymbol]Taban_Suit	11	11	
item name	3JhK	[helmsymbol]Hide_Cap	9	11	
item name	3JhV	[helmsymbol]BronzeHelm	11	11	
item name	3Jhg	[helmsymbol]Iron_Helm	10	11	
item name	3Jhr	[helmsymbol]Beret	6	11	
item name	3Ji2	[helmsymbol]Gold_Helm	10	11	
item name	3JiD	[helmsymbol]Rock_Helm	10	11	
item name	3JiO	[helmsymbol]CeraTopper	11	11	
item name	3JiZ	[helmsymbol]Glow_Helm	10	11	
item name	3Jik	[helmsymbol]Lode_Helm	10	11	
item name	3Jiv	[helmsymbol]Aeon_Helm	10	11	
item name	3Jj6	[helmsymbol]Prism_Helm	11	11	
item name	3JjH	[helmsymbol]Doom_Helm	10	11	
item name	3JjS	[helmsymbol]Dark_Helm	10	11	
item name	3Jjd	[helmsymbol]Gloom_Helm	11	11	
item name	3Jjo	[helmsymbol]Safe_Helm	10	11	
item name	3Jjz	[helmsymbol]Taban_Helm	11	11	
item name	3JkA	[helmsymbol]Sight_Cap	10	11	
item name	3JkL	[helmsymbol]Memory_Cap	11	11	
item name	3JkW	[helmsymbol]Time_Hat	9	11	
item name	3Jkh	[helmsymbol]Vigil_Hat	10	11	
item name	3Jks	[helmsymbol]OzziePants	11	11	
item name	3Jl3	[helmsymbol]Haste_Helm	11	11	
item name	3JlE	[helmsymbol]R'bow_Helm	11	11	
item name	3JlP	[helmsymbol]MermaidCap	11	11	
item name	3Jll	[ringsymbol]Bandana	8	11	
item name	3Jlw	[ringsymbol]Ribbon	7	11	
item name	3Jm7	[ringsymbol]PowerGlove	11	11	
item name	3JmI	[ringsymbol]Defender	9	11	
item name	3JmT	[ringsymbol]MagicScarf	11	11	
item name	3Jme	[ringsymbol]Amulet	7	11	
item name	3Jmp	[ringsymbol]Dash_Ring	10	11	
item name	3Jn0	[ringsymbol]Hit_Ring	9	11	
item name	3JnB	[ringsymbol]Power_Ring	11	11	
item name	3JnM	[ringsymbol]Magic_Ring	11	11	
item name	3JnX	[ringsymbol]Wall_Ring	10	11	
item name	3Jni	[ringsymbol]SilverErng	11	11	
item name	3Jnt	[ringsymbol]Gold_Erng	10	11	
item name	3Jo4	[ringsymbol]SilverStud	11	11	
item name	3JoF	[ringsymbol]Gold_Stud	10	11	
item name	3JoQ	[ringsymbol]SightScope	11	11	
item name	3Job	[ringsymbol]Charm_Top	10	11	
item name	3Jom	[ringsymbol]Rage_Band	10	11	
item name	3Jox	[ringsymbol]FrenzyBand	11	11	
item name	3Jp8	[ringsymbol]Third_Eye	10	11	
item name	3JpJ	[ringsymbol]Wallet	7	11	
item name	3JpU	[ringsymbol]GreenDream	11	11	
item name	3Jpf	[ringsymbol]Berserker	10	11	
item name	3Jpq	[ringsymbol]PowerScarf	11	11	
item name	3Jq1	[ringsymbol]Speed_Belt	11	11	
item name	3JqC	[ringsymbol]Black_Rock	11	11	
item name	3JqN	[ringsymbol]Blue_Rock	10	11	
item name	3JqY	[ringsymbol]SilverRock	11	11	
item name	3Jqj	[ringsymbol]White_Rock	11	11	
item name	3Jqu	[ringsymbol]Gold_Rock	10	11	
item name	3Jr5	[ringsymbol]Hero_Medal	11	11	
item name	3JrG	[ringsymbol]MuscleRing	11	11	
item name	3JrR	[ringsymbol]Flea_Vest	10	11	
item name	3Jrc	[ringsymbol]Magic_Seal	11	11	
item name	3Jrn	[ringsymbol]Power_Seal	11	11	
item name	3Jry	[ringsymbol]Relic	6	11	
item name	3Js9	[ringsymbol]SeraphSong	11	11	
item name	3JsK	[ringsymbol]Sun_Shades	11	11	
item name	3JsV	[ringsymbol]PrismSpecs	11	11	
item name	3Jsr	_Tonic	6	11	
item name	3Jt2	_Mid_Tonic	10	11	
item name	3JtD	_Full_Tonic	11	11	
item name	3JtO	_Ether	6	11	
item name	3JtZ	_Mid_Ether	10	11	
item name	3Jtk	_Full_Ether	11	11	
item name	3Jtv	_Elixir	7	11	
item name	3Ju6	_HyperEther	11	11	
item name	3JuH	_MegaElixir	11	11	
item name	3JuS	_Heal	5	11	
item name	3Jud	_Revive	7	11	
item name	3Juo	_Shelter	8	11	
item name	3Juz	_Power_Meal	11	11	
item name	3JvA	_Lapis	6	11	
item name	3JvL	_Barrier	8	11	
item name	3JvW	_Shield	7	11	
item name	3Jvh	_Power_Tab	10	11	
item name	3Jvs	_Magic_Tab	10	11	
item name	3Jw3	_Speed_Tab	10	11	
item name	3JwE	_Petal	6	11	
item name	3JwP	_Fang	5	11	
item name	3Jwa	_Horn	5	11	
item name	3Jwl	_Feather	8	11	
item name	3Jww	_Seed	5	11	
item name	3Jx7	_Bike_Key	9	11	
item name	3JxI	_Pendant	8	11	
item name	3JxT	_Gate_Key	9	11	
item name	3Jxe	_PrismShard	11	11	
item name	3Jxp	_C._Trigger	11	11	
item name	3Jy0	_Tools	6	11	
item name	3JyB	_Jerky	6	11	
item name	3JyM	_Dreamstone	11	11	
item name	3JyX	_Race_Log	9	11	
item name	3Jyi	_Moon_Stone	11	11	
item name	3Jyt	_Sun_Stone	10	11	
item name	3Jz4	_Ruby_Knife	11	11	
item name	3JzF	_Yakra_Key	10	11	
item name	3JzQ	_Clone	6	11	
item name	3Jzb	_Toma's_Pop	11	11	
item name	3Jzm	_2_Petals	9	11	
item name	3Jzx	_2_Fangs	8	11	
item name	3K08	_2_Horns	8	11	
item name	3K0J	_2_Feathers	11	11	
item type (8px)	HW0O	WEAPON	6	10	
item type (8px)	HW0Q	WEAPON	6	10	
item type (8px)	HW0S	WEAPON	6	10	
item type (8px)	HW0U	WEAPON	6	10	
item type (8px)	HW0W	WEAPON	6	10	
item type (8px)	HW0Y	WEAPON	6	10	
item type (8px)	HW0a	WEAPON	6	10	
item type (8px)	HW0c	WEAPON	6	10	
item type (8px)	HW0e	WEAPON	6	10	
item type (8px)	HW0g	WEAPON	6	10	
